"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"7b433a8d-92ac-4557-beab-13ceee659690","USD",12975610.27,12975610.27,12975610.27,"PHL-202-G01-M-00",NA
"65cde444-a6b9-4286-bfb2-519fdfc91f81","USD",14034792.01,14034792.01,14034792.01,"SSD-202-G02-T-00",NA
"ed3fb9ed-a462-4743-b6d3-12b20f363974","USD",132700459.53,119272768.88,115175152.08,"CIV-M-SCI",NA
"2afb8ffb-ea1a-42a0-b9a8-357ca8434d92","USD",37723192.72,29586461,27879849.39,"HTI-S-UGP",NA
"783da83c-cc7d-4eac-8145-d4deba77606d","USD",50345665.35,50345665.35,50345665.35,"BUL-202-G01-H-00",NA
"b8fe5af2-13be-4ebe-a354-760cb2f2d5ca","USD",6638467.9,6638467.9,6638467.9,"MKD-708-G03-H",NA
"b582c23d-697d-4370-a81b-d3dd72eab7c2","USD",2400390.13,2400390.13,2400390.13,"SWZ-304-G03-T",NA
"d75fca8c-d7e4-4c8d-9c44-91d6112827c7","USD",14764100.14,14764100.14,14764100.14,"KHM-T-CENAT",NA
"3cfaeda7-a141-4480-8cc8-c3f49badde3f","USD",2727308.05,2727308.05,2727308.05,"QRA-H-IOM",NA
"c0959d2a-326e-472a-a375-b8e70640560a","USD",452948.27,452948.27,452948.27,"UKR-102-G03-H-00",NA
"0ce9c9f6-40cb-429a-a51f-93cd10773722","USD",9022670.54,9022670.54,9022670.54,"THA-809-G13-T",NA
"9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502","USD",14895781.31,14895781.31,14895781.31,"STP-M-UNDP",NA
"0b4ea0b4-59bb-4357-94b1-bb0e8d1e57ed","USD",5443975.72,5443975.72,5443975.72,"ALB-506-G01-H",NA
"90fb7820-b2f0-4401-bc77-067270585a9b","USD",62111060.45,62111060.45,62111060.45,"VTN-011-G10-S",NA
"c0f7cdc2-b93a-4c89-82d6-4b3c3f707941","USD",12165786.01,12165786.01,12165786.01,"MWP-708-G07-T",NA
"d75fca8c-d7e4-4c8d-9c44-91d6112827c7","USD",14536403.43,14536403.43,14536403.43,"KHM-202-G02-H-00",NA
